0,1,2,3
406,ТЕМП РОСТА СРЕДНЕСПИСОЧНОЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ,"['темп_NOUN', 'рост_NOUN', 'среднесписочный_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN']",5
407,ФОНД ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В УЧРЕЖДЕНИЯХ КУЛЬТУРЫ,"['фонд_NOUN', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'учреждение_NOUN', 'культура_NOUN']",12
479,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ИМЕЮЩИХ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИЦИРОВАННЫЕ КАТЕГОРИИ В ОБЩЕЙ ДОЛЕ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ БЫКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'иметь_VERB', 'первый_ADJ', 'высокий_ADJ', 'квалифицированный_ADJ', 'категория_NOUN', 'общий_ADJ', 'доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'муниципальный_ADJ', 'район_NOUN']",-1
544,ОХВАТ ДЕТЕЙ В ВОЗРАСТЕ ЛЕТ ПРОГРАММАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['охват_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN']",42
556,УДЕЛЬНЫЙ ВЕС ДЕТЕЙ И МОЛОДЕЖИ В ВОЗРАСТЕ ЛЕТ ОХВАЧЕННЫХ ПРОГРАММАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['удельный_ADJ', 'вес_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'возраст_NOUN', 'год_NOUN', 'охватывать_VERB', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN']",43
577,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ЛЕТ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ ПОЛУЧАЮЩИХ УСЛУГИ ПО ДОПОЛНИТЕЛЬНОМУ ОБРАЗОВАНИЮ В ОРГАНИЗАЦИЯХ РАЗЛИЧНОЙ ОРГАНИЗАЦИОННО ПРАВОВОЙ ФОРМЫ И ФОРМЫ СОБСТВЕННОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ ЭТОЙ ВОЗРАСТНОЙ ГРУППЫ,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'ограниченный_ADJ', 'возможность_NOUN', 'здоровье_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'организация_NOUN', 'различный_ADJ', 'организационно_ADV', 'правый_NOUN', 'форма_NOUN', 'форма_NOUN', 'собственность_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'ограниченный_ADJ', 'возможность_NOUN', 'здоровье_NOUN', 'возраст_NOUN', 'группа_NOUN']",13
609,КОЛИЧЕСТВО МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ОСНАЩЕННЫХ СОВРЕМЕННЫМ ОБОРУДОВАНИЕМ ДЛЯ РЕАЛИЗАЦИИ ПРОГРАММ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В РАМКАХ ПРОФОРИЕНТАЦИОННОЙ РАБОТЫ,"['количество_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'оснащение_NOUN', 'современный_ADJ', 'оборудование_NOUN', 'реализация_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'рамка_NOUN', 'профориентация_NOUN', 'работа_NOUN']",-1
615,СООТНОШЕНИЕ СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ К СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЕ УЧИТЕЛЕЙ В СВЕРДЛОВСКОЙ ОБЛАСТИ,"['соотношение_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'учитель_NOUN', 'область_NOUN']",21
620,ДОЛЯ НЕСОВЕРШЕННОЛЕТНИХ ОХВАЧЕННЫХ КРУЖКАМИ И СЕКЦИЯМИ ДОСУГОМ ОТ ОБЩЕГО ЧИСЛА НЕСОВЕРШЕННОЛЕТНИХ,"['доля_NOUN', 'совершеннолетняя_NOUN', 'охватывать_VERB', 'кружка_NOUN', 'секция_NOUN', 'досуг_NOUN', 'общий_ADJ', 'число_NOUN', 'совершеннолетняя_NOUN']",-1
645,КАЧЕСТВЕННЫЙ ПОКАЗАТЕЛЬ УСПЕВАЕМОСТИ В ОРГАНИЗАЦИЯХ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ СФЕРЫ КУЛЬТУРА,"['качество_NOUN', 'показатель_NOUN', 'успеваемость_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'сфера_NOUN', 'культура_NOUN']",-1
